Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
14,Buffalo Sabres,Zemgus Girgensons,LV,C,18,2022,Dubuque (USHL),523,68,82,150,-59,155,,,,,,,10
14,Columbus Blue Jackets,Alexander Wennberg,SE,C,18,2022,Djurgarden (Sweden-2),527,62,192,254,-7,111,,,,,,,18.6
15,Nashville Predators,Alexander Radulov,RU,RW,18,2022,Tver (Russia-2),500,143,221,364,69,330,,,,,,,42
15,New York Islanders,Ryan O'Marra,JP,C,18,2012,Erie (OHL),33,1,6,7,-3,17,,,,,,,0.2
15,Tampa Bay Lightning,Riku Helenius,FI,G,18,2009,Ilves Tampere ( ),1,0,0,0,0,0,1,0,0,0,1,0,0
15,Edmonton Oilers,Alex Plante,CA,D,18,2012,Calgary (WHL),10,0,2,2,-1,15,,,,,,,0.3
15,Ottawa Senators,Erik Karlsson,SE,D,18,2022,Vastra Frolunda Jr. ( ),821,151,500,651,-67,386,,,,,,,100.3
15,Anaheim Ducks,Peter Holland,CA,C,18,2018,Guelph (OHL),266,36,49,85,-38,112,,,,,,,6.2
15,Los Angeles Kings,Derek Forbort,US,D,18,2022,USA U-18 (USHL),382,12,63,75,7,237,,,,,,,19.4
15,New York Rangers,J.T. Miller,US,C,18,2022,USA U-18 (USHL),611,158,258,416,34,313,,,,,,,44.1
15,Ottawa Senators,Cody Ceci,CA,D,18,2022,Ottawa (OHL),600,39,119,158,-34,126,,,,,,,26.8
15,New York Islanders,Ryan Pulock,CA,D,18,2022,Brandon (WHL),316,34,97,131,33,65,,,,,,,26.3
16,New York Islanders,Petteri Nokelainen,FI,C,18,2012,SaiPa (Finland),245,20,21,41,-14,103,,,,,,,1.6
16,Atlanta Thrashers,Alex Bourret,CA,RW,18,,Lewiston (QMJHL),,,,,,,,,,,,,
16,San Jose Sharks,Ty Wishart,CA,D,18,2012,Prince George (WHL),26,1,5,6,5,10,,,,,,,1.6
16,Minnesota Wild,Colton Gillies,CA,LW,18,2013,Saskatoon (WHL),154,6,12,18,-12,72,,,,,,,-0.1
16,Boston Bruins,Joe Colborne,CA,C,18,2017,Camrose (AJHL),295,42,72,114,-38,144,,,,,,,8.9
16,Minnesota Wild,Nick Leddy,US,D,18,2022,Eden Prairie (High-MN),825,66,282,348,-57,161,,,,,,,52.9
16,St. Louis Blues,Vladimir Tarasenko,RU,RW,18,2022,Novosibirsk (Russia),579,237,251,488,65,171,,,,,,,64.1
16,Buffalo Sabres,Joel Armia,FI,RW,18,2022,Assat (Finland),375,64,68,132,2,118,,,,,,,11.1
16,Washington Capitals,Tom Wilson,CA,RW,18,2022,Plymouth (OHL),621,108,149,257,37,1193,,,,,,,23.6
